Tick,Power,Failed
291,100.253116,59
293,100.252914,59
294,100.253585,59
295,100.252244,59
296,100.251486,60
297,100.253174,60
299,100.252058,61
300,100.251852,61
301,100.260330,61
302,100.257276,63
303,100.254332,65
305,100.253939,65
307,100.253572,65
308,100.254329,65
309,100.253725,65
310,100.253315,65
311,100.252910,65
312,100.252384,65
313,100.252573,65
314,100.252166,65
315,100.251785,65
316,100.252843,65
317,100.252284,65
318,100.253583,65
320,100.254475,65
321,100.253535,65
322,100.253978,65
324,100.252835,65
325,100.252285,65
326,100.252178,65
327,100.251486,66
329,100.249642,66
330,100.249267,66
331,100.250170,66
332,100.249089,66
333,100.247474,66
334,100.246758,69
335,100.246861,69
336,100.247857,70
337,100.246791,70
338,100.244862,70
339,100.244510,70
340,100.246230,70
341,100.245534,70
342,100.245596,70
343,100.245425,70
344,100.245247,70
345,100.245238,70
346,100.244542,70
347,100.244021,70
348,100.244000,70
349,100.242973,71
350,100.242294,71
351,100.241782,72
352,100.242265,72
354,100.243792,72
355,100.244026,72
356,100.243213,72
357,100.243045,72
358,100.242555,72
359,100.241569,72
360,100.241735,72
362,100.242406,72
363,100.241921,72
364,100.241758,72
365,100.241595,72
366,100.241177,72
367,100.240074,72
369,100.240945,72
370,100.240907,72
372,100.239523,72
373,100.240188,72
374,100.239265,73
375,100.238647,73
376,100.238892,74
377,100.238737,74
378,100.237979,74
379,100.238702,74
380,100.238205,74
381,100.236746,75
382,100.236886,75
383,100.236035,75
384,100.235891,75
385,100.237742,75
387,100.237029,76
388,100.237327,76
389,100.236744,76
390,100.235791,77
392,100.234970,77
393,100.236579,77
395,100.236057,77
396,100.235928,78
397,100.238180,78
398,100.239841,78
399,100.240403,78
400,100.242090,78
401,100.246701,78
402,100.246052,78
403,100.245751,79
404,100.244841,79
405,100.242635,79
406,100.241048,80
407,100.240233,80
408,100.240094,80
409,100.241813,80
412,100.241119,80
413,100.241991,80
414,100.241567,80
415,100.241148,80
416,100.240591,80
417,100.242016,80
418,100.242739,80
419,100.242483,82
420,100.241935,82
422,100.241796,82
423,100.242080,82
424,100.241817,82
425,100.241005,82
426,100.240732,82
427,100.241521,82
428,100.242361,82
429,100.241567,83
430,100.240767,83
431,100.240632,83
432,100.240912,83
433,100.240650,83
434,100.240114,83
435,100.239852,83
436,100.240690,83
437,100.241464,83
438,100.241361,83
439,100.240832,83
440,100.240569,83
441,100.239410,84
442,100.238897,84
443,100.238904,84
444,100.238380,84
445,100.237787,84
446,100.237961,84
447,100.238407,84
448,100.238022,84
449,100.238390,85
450,100.239093,85
451,100.238593,85
452,100.237845,85
453,100.236982,85
454,100.238871,85
455,100.240521,85
456,100.245981,85
457,100.245835,85
458,100.245783,85
459,100.245412,85
460,100.247010,85
461,100.246542,85
462,100.246272,85
463,100.245302,85
464,100.244327,86
465,100.244829,86
466,100.244250,87
468,100.243408,87
469,100.244013,87
470,100.244284,87
471,100.243845,87
472,100.243602,87
473,100.244565,87
474,100.244721,87
475,100.244483,87
476,100.243652,87
477,100.242958,87
478,100.242506,87
479,100.241226,87
480,100.241380,88
481,100.240830,88
482,100.241347,88
483,100.240897,88
484,100.240283,89
485,100.239997,90
487,100.239442,90
488,100.239289,90
489,100.238614,91
490,100.238167,91
492,100.238054,91
495,100.237941,91
496,100.239096,92
497,100.241720,93
498,100.240852,94
499,100.240530,94
500,100.240578,94
501,100.235762,95
502,100.235255,95
503,100.234226,95
504,100.233799,95
505,100.233582,95
507,100.233477,95
508,100.233055,95
509,100.232845,96
510,100.233376,96
511,100.233272,96
512,100.234880,96
514,100.234771,96
515,100.235618,96
516,100.237258,96
517,100.236303,96
518,100.236347,96
519,100.237238,96
520,100.238765,96
521,100.237713,96
522,100.237627,96
524,100.237102,96
525,100.238123,96
526,100.240161,96
527,100.239492,96
528,100.238963,96
529,100.238753,96
530,100.238023,96
531,100.237362,96
532,100.236812,96
534,100.236508,96
535,100.236666,96
536,100.236364,96
537,100.236966,96
538,100.237899,96
539,100.238657,96
540,100.237850,96
541,100.237447,96
543,100.237790,96
544,100.237587,96
545,100.237887,96
546,100.237948,96
547,100.237257,96
548,100.237158,96
549,100.236373,97
550,100.236276,97
551,100.236333,97
552,100.236309,99
553,100.236117,99
554,100.236020,99
555,100.235690,100
