Tick,Power,Failed
184,100.260164,28
185,100.259787,28
186,100.263014,28
187,100.260260,28
189,100.264833,28
190,100.264534,28
191,100.265585,28
192,100.261496,29
193,100.261134,30
194,100.259734,30
195,100.259891,30
197,100.258490,31
198,100.260092,31
199,100.258350,31
200,100.254557,32
201,100.253116,32
202,100.252333,32
203,100.251232,32
204,100.249798,32
205,100.248352,32
206,100.246893,32
207,100.246180,32
208,100.245289,32
209,100.243854,32
210,100.243593,32
211,100.242576,32
212,100.241918,32
213,100.243971,32
215,100.243700,32
216,100.247793,32
217,100.246932,32
218,100.248556,32
219,100.248311,32
220,100.250309,32
221,100.248881,32
222,100.247047,32
223,100.248392,32
224,100.248729,33
225,100.250905,33
226,100.249349,34
227,100.250940,34
228,100.250022,35
229,100.249523,35
230,100.246935,35
231,100.245267,35
232,100.244279,35
233,100.243947,35
234,100.243951,35
235,100.243720,35
236,100.243908,35
237,100.245586,35
238,100.249371,35
239,100.248421,35
240,100.247479,35
241,100.247239,35
242,100.245290,35
243,100.241727,36
244,100.239744,36
245,100.239521,36
246,100.239289,36
247,100.238828,36
248,100.238358,36
249,100.237683,36
250,100.238311,36
251,100.238086,36
252,100.242779,37
253,100.240843,39
254,100.240885,39
255,100.240241,39
256,100.243039,39
258,100.241909,39
260,100.241629,39
261,100.241457,39
262,100.240386,40
263,100.241051,40
264,100.240271,40
265,100.240015,40
266,100.241266,40
267,100.241696,40
268,100.241221,40
269,100.241907,40
270,100.240959,41
272,100.240247,41
273,100.240908,41
274,100.244946,41
275,100.245439,41
276,100.244627,43
277,100.245852,43
278,100.243760,45
279,100.243547,45
280,100.242688,45
281,100.241631,45
282,100.245035,45
283,100.242167,45
284,100.244723,45
285,100.243884,45
286,100.243085,45
287,100.242129,45
288,100.242574,45
289,100.242146,45
290,100.244405,45
291,100.245447,45
292,100.244201,45
293,100.243112,46
294,100.243857,46
295,100.242778,46
296,100.242390,46
297,100.241989,47
298,100.241859,47
299,100.246845,47
300,100.246114,47
301,100.246128,47
302,100.246631,47
303,100.244800,48
304,100.243861,49
305,100.242820,49
306,100.242101,49
307,100.242487,49
308,100.241590,49
309,100.241407,49
310,100.241225,49
311,100.243678,49
312,100.242779,49
313,100.242583,49
314,100.242397,49
315,100.242211,49
316,100.241974,50
317,100.242842,50
318,100.240495,51
319,100.239932,51
320,100.239004,51
321,100.238275,51
322,100.237753,51
323,100.239900,51
324,100.239194,51
325,100.238839,51
326,100.238141,51
327,100.237969,52
328,100.239639,52
329,100.239131,52
330,100.239496,52
331,100.239829,52
332,100.239488,52
333,100.239152,52
