Tick,Power,Failed
367,101.401812,79
368,101.399239,79
369,101.398178,79
370,101.397606,80
371,101.396580,80
372,101.393526,81
373,101.394166,81
374,101.390172,82
375,101.389179,82
376,101.401412,82
378,101.400455,82
379,101.399502,82
380,101.401505,82
381,101.403256,83
382,101.397735,84
384,101.393706,85
385,101.409510,85
386,101.402568,86
387,101.405610,86
388,101.401320,86
389,101.401117,86
390,101.401777,86
391,101.400291,87
392,101.395004,87
393,101.395380,88
394,101.393608,88
395,101.395702,88
396,101.391365,88
397,101.388749,88
398,101.387878,88
399,101.387871,88
400,101.385824,88
401,101.386195,88
402,101.382800,88
403,101.380262,89
405,101.380774,89
406,101.382471,89
407,101.390844,90
408,101.388174,90
409,101.389145,91
411,101.387567,91
412,101.387807,91
413,101.389929,91
414,101.396001,91
415,101.393000,91
417,101.389998,91
418,101.389244,91
419,101.386251,91
420,101.381765,92
421,101.377993,92
422,101.408117,92
423,101.402901,93
424,101.402297,93
425,101.397927,94
426,101.396126,94
427,101.390175,94
428,101.385006,95
429,101.374285,96
430,101.374987,96
431,101.372067,96
432,101.371075,96
433,101.366358,96
434,101.379375,96
437,101.374127,97
438,101.379934,97
439,101.386769,97
440,101.382811,97
442,101.377514,97
443,101.376458,97
444,101.388233,97
445,101.385198,97
446,101.383180,98
447,101.380149,98
448,101.392438,98
449,101.399351,99
450,101.398399,100
451,101.402783,100
452,101.400267,100
453,101.396640,100
454,101.395629,102
455,101.390074,102
456,101.388076,102
457,101.397796,102
458,101.402023,103
460,101.400725,104
461,101.399821,104
462,101.406303,104
463,101.401115,104
464,101.394928,106
465,101.394003,106
466,101.404723,106
467,101.402954,106
468,101.408084,106
469,101.405511,106
470,101.406929,106
471,101.401879,107
472,101.398262,107
473,101.394012,107
474,101.392240,107
475,101.389723,107
476,101.384681,107
477,101.381268,108
478,101.385554,108
479,101.383880,108
480,101.386778,109
481,101.388350,109
482,101.388348,109
483,101.389932,109
484,101.385278,109
485,101.382161,109
486,101.382327,109
487,101.380007,109
488,101.376125,109
489,101.373756,109
492,101.369067,109
